"","line","section_name","section_artist","song_name","artist_name","song_id"
"26","One day, I'll watch as you're leaving","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"27","And life will lose all its meaning","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"28","(For the last time)","Pre-Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"29","It's me, hi","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"30","I'm the problem, it's me (I'm the problem, it's me)","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"31","At teatime, everybody agrees","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"32","I'll stare directly at the sun, but never in the mirror","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"33","It must be exhausting always rooting for the anti-hero","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"34","I have this dream my daughter-in-law kills me for the money","Bridge","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"35","She thinks I left them in the will","Bridge","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"36","The family gathers 'round and reads it and then someone screams out","Bridge","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"37","""She's laughing up at us from Hell""","Bridge","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"38","It's me, hi","Breakdown","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"39","I'm the problem, it's me","Breakdown","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"40","It's me, hi","Breakdown","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"41","I'm the problem, it's me","Breakdown","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"42","It's me, hi","Breakdown","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"43","Everybody agrees, everybody agrees","Breakdown","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"44","It's me, hi (Hi)","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"45","I'm the problem, it's me (I'm the problem, it's me)","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"46","At teatime (Teatime), everybody agrees (Everybody agrees)","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"47","I'll stare directly at the sun, but never in the mirror","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"48","It must be exhausting always rooting for the anti-hero","Chorus","Taylor Swift","Anti-Hero","Taylor Swift","8434253"
"49","Go buy a zip of weed, hit the club","Intro","21 Savage & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"50","Pay for 'bout ten niggas to get in","Intro","21 Savage & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"51","We crunk, lit, in this bitch, yeah","Intro","21 Savage & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"52","Know we walk around the world","Intro","21 Savage & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"53","Steppin', not givin a damn 'bout where our feet land at, yeah","Intro","21 Savage & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"54","Get your ass mushed, smooshed (6ix)","Intro","21 Savage & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"55","Yeah, 21, the biggest","Intro","21 Savage & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"56","Put a nigga in the chicken wing, pussy","Intro","21 Savage & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"57","21, can you do somethin' for me? (21)","Chorus","Drake & 21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"58","Can you hit a lil' rich flex for me? (21)","Chorus","Drake & 21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"59","And 21, can you do somethin' for me? (21, 21)","Chorus","Drake & 21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"60","Drop some bars to my pussy ex for me","Chorus","Drake & 21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"61","Then 21 (21), can you do somethin' for me? (Yeah)","Chorus","Drake & 21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"62","Can you talk to the opps necks for me? (Okay)","Chorus","Drake & 21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"63","21, do your thing 21, do your thing (21)","Chorus","Drake & 21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"64","Do your thing, 21, do your thing","Chorus","Drake & 21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"65","Yellow diamonds in the watch, this shit cost a lot","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"66","Never send a bitch your dot, that's how you get shot","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"67","I DM in Vanish Mode, I do that shit a lot","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"68","Took her panties off and this bitch thicker than the plot","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"69","All my exes ain't nothin', them hoes busted","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"70","If my opps ain't rappin', they ass duckin'","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"71","You ain't ready to pull the trigger, don't clutch it","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"72","I know you on your period baby, can you suck it?","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"73","I'm a savage (21)","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"74","Smack her booty in Magic (21, 21)","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"75","I'll slap a pussy nigga with a ratchet (Pussy)","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"76","I might slap a tracker on his whip and get the addy (Pussy)","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"77","Don't call me on Christmas Eve, bitch, call your daddy (21)","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"78","Bitch, call your uncle (21), bitch, don't call me (21)","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"79","Always in my ear, your ho a flea (Fuck)","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"80","Why my opps be posting guns and only use they feet? (21)","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"81","Paid like an athlete, I got—","Verse","21 Savage","Rich Flex","Drake & 21 Savage","8524075"
"82","All you hoes, all of you hoes need to remember who y'all talkin' to","Segue","Drake","Rich Flex","Drake & 21 Savage","8524075"
"83","It's a Slaughter Gang CEO","Segue","Drake","Rich Flex","Drake & 21 Savage","8524075"
"84","I got dick for you if I'm not workin', girl","Segue","Drake","Rich Flex","Drake & 21 Savage","8524075"
"85","If I'm busy then fuck no","Segue","Drake","Rich Flex","Drake & 21 Savage","8524075"
"86","You need to find you someone else to call","Segue","Drake","Rich Flex","Drake & 21 Savage","8524075"
"87","When your bank account get low, you need to find you someone—","Segue","Drake","Rich Flex","Drake & 21 Savage","8524075"
"88","Ayy, ayy, ayy, ayy, ayy","Intro","Drake","Rich Flex","Drake & 21 Savage","8524075"
"89","I'm on that Slaughter Gang shit, ayy, murder gang shit","Intro","Drake","Rich Flex","Drake & 21 Savage","8524075"
"90","Ayy, Slaughter Gang shit, ayy, murder gang shit, ayy","Intro","Drake","Rich Flex","Drake & 21 Savage","8524075"
"91","Sticks and stones, chrome on chrome","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"92","That's just what a nigga on","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"93","Internet clones, got 'em kissin' through the phone","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"94","Pussies cliquin' up so they don't feel alone, ayy","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"95","Nan' nigga seein' me, I'm Young Money CMB","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"96","I used to roll with CMG, the house is not a BNB","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"97","The bad bitches waitin' on a nigga like I'm PND","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"98","I'm steady pushin' P, you niggas pushing PTSD","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"99","I told her ass to kiss me in the club, fuck a TMZ","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"100","I used to want a GMC, when Woe was doing BNE","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"101","We revvin' up and goin' on a run like we DMC","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"102","I layup with her for a couple days, then its BRB","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"103","You rappers love askin' if I fucked, when you know we did","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"104","When you know we did","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"105","She came in heels but she left out on her cozy shit","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"106","Ayy, I'm livin every twenty-four like Kobe did","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"107","Shoutout to the 6ix, R.I.P to 8","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"108","Swear this shit is gettin' ate, I'm on ten for the cake","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"109","Get a lot of love from twelve, but I don't reciprocate","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"110","Fifty-one division stay patrollin' when it's late","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"111","21 my addy, so the knife is on the gate","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"112","All the dawgs eatin' off a Baccarat plate","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"113","Niggas see Drake and they underestimate","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"114","Take it from a vet', that's a rookie ass mistake, ayy","Verse","Drake","Rich Flex","Drake & 21 Savage","8524075"
"115","Ah, what, what","Outro","Drake & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"116","Slaughter Gang shit, ayy, murder gang shit","Outro","Drake & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"117","Ayy, Slaughter Gang shit, ayy, murder gang shit","Outro","Drake & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"118","Ayy, Slaughter Gang shit, ayy, murder gang shit","Outro","Drake & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"119","On God","Outro","Drake & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"120","Boy, look, you the motherfuckin' man, boy, you, ooh","Outro","Drake & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"121","You is the man, you hear me?","Outro","Drake & Young Nudy","Rich Flex","Drake & 21 Savage","8524075"
"122","Mummy don't know daddy's getting hot","Intro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"123","At the body shop","Intro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"124","Doing something unholy","Intro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"125","He like it, like it, yeah (Ooh)","Intro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"126","He like it, like it, yeah (Yeah, yeah)","Intro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"127","He like it, like it, yeah (Uh)","Intro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"128","He like it, like it, yeah","Intro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"129","A lucky, lucky girl","Verse 1","Sam Smith","Unholy","Sam Smith & Kim Petras","8302862"
"130","She got married to a boy like you","Verse 1","Sam Smith","Unholy","Sam Smith & Kim Petras","8302862"
"131","She'd kick you out if she ever, ever knew","Verse 1","Sam Smith","Unholy","Sam Smith & Kim Petras","8302862"
"132","'Bout all the **** you tell me that you do","Verse 1","Sam Smith","Unholy","Sam Smith & Kim Petras","8302862"
"133","Dirty, dirty boy","Verse 1","Sam Smith","Unholy","Sam Smith & Kim Petras","8302862"
"134","You know everyone is talkin' on the scene","Verse 1","Sam Smith","Unholy","Sam Smith & Kim Petras","8302862"
"135","I hear them whisperin' 'bout the places that you've been","Verse 1","Sam Smith","Unholy","Sam Smith & Kim Petras","8302862"
"136","And how you don't know how to keep your business clean","Verse 1","Sam Smith","Unholy","Sam Smith & Kim Petras","8302862"
"137","Mummy don't know daddy's getting hot","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"138","At the body shop","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"139","Doin' somethin' unholy","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"140","He's sat back while she's droppin' it","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"141","She be poppin' it","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"142","Yeah, she put it down slowly","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"143","Oh-ee-oh-ee-oh, he left his kids at","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"144","Ho-ee-oh-ee-ome so he can get that","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"145","Mummy don't know daddy's getting hot","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"146","At the body shop","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"147","Doin' somethin' unholy (Woo)","Chorus","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"148","Mm, daddy, daddy, if you want it, drop the addy (Yeah, yeah)","Verse 2","Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"149","Give me love, give me Fendi, my Balenciaga daddy","Verse 2","Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"150","You gon' need to bag it up 'cause I'm spendin' on Rodeo (Woo)","Verse 2","Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"151","You can watch me back it up, I'll be gone in the A.M. (Yeah)","Verse 2","Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"152","And he, he get me Prada, get me Miu Miu like Rihanna (Ah)","Verse 2","Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"153","He always call me 'cause I never cause no drama","Verse 2","Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"154","And when you want it, baby, I know I got you covered","Verse 2","Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"155","And when you need it, baby, just jump under the covers (Yeah)","Verse 2","Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"156","Mummy don't know daddy's getting hot (Hot)","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"157","At the body shop (Shop)","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"158","Doin' somethin' unholy","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"159","He's sat back while she's droppin' it (She)","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"160","She be poppin' it (She)","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"161","Yeah, she put it down slowly","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"162","Oh-ee-oh-ee-oh, he left his kids at","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"163","Ho-ee-oh-ee-ome so he can get that","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"164","Mummy don't know daddy's getting hot","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"165","At the body shop (Ah)","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"166","Doin' somethin' unholy","Chorus","Sam Smith, Kim Petras & Both","Unholy","Sam Smith & Kim Petras","8302862"
"167","Oh-oh, oh-ee-oh-ee, ee-oh (Unholy)","Outro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"168","Oh-oh, oh-ee-oh-ee, ee-oh (Unholy)","Outro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"169","Oh-oh, oh-ee-oh-ee, ee-oh (Yeah, yeah)","Outro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"170","Oh-oh, oh-ee-oh-ee, ee-oh","Outro","Sam Smith & Kim Petras","Unholy","Sam Smith & Kim Petras","8302862"
"171","I wish I knew you wanted me","Intro","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"172","I wish I knew","Intro","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"173","I wish I knew you wanted me","Intro","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"174","I wish I knew","Intro","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"175","I wish I knew you wanted me","Intro","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"176","What you, ooh, uh, what you do?","Verse 1","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"177","Made a move, could've made a move","Verse 1","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"178","If I knew I'd be with you","Verse 1","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"179","Is it too late to pursue?","Verse 1","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"180","I bite my tongue, it's a bad habit","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"181","Kinda mad that I didn't take a stab at it","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"182","Thought you were too good for me, my dear","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"183","Never gave me time of day, my dear","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"184","It's okay, things happen for","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"185","Reasons that I think are sure, yeah","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"186","I wish I knew","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"187","I wish I knew you wanted me (I wish I knew)","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"188","I wish I knew (Oh)","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"189","I wish I knew you wanted me","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"190","I wish I knew (Yeah)","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"191","I wish I knew you wanted me (Oh)","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"192","I wish I knew","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"193","I wish I knew you wanted me","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"194","Please say to me (Please, just say to me)","Verse 2","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"195","If you still want it","Verse 2","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"196","I wish you wouldn't play with me","Verse 2","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"197","I wanna know (I wanna know)","Verse 2","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"198","Can I bite your tongue like my bad habit?","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"199","Would you mind if I tried to make a pass at it?","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"200","No, you're not too good for me, my dear","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"201","Funny you come back to me, my dear","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"202","It's okay, things happen for","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"203","Reasons that I can't ignore, yeah","Chorus","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"204","I wish I knew","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"205","I wish I knew you wanted me","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"206","I wish I knew (Wish I knew)","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"207","I wish I knew you wanted me (Oh)","Post-Chorus","Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"208","You can't surprise a Gemini (I wish I knew)","Bridge","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"209","I'm everywhere, I'm cross-eyed, and (I wish I knew you wanted me)","Bridge","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"210","Now that you're back, I can't decide (I wish I knew)","Bridge","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"211","If I decide if you're invited (I wish I knew you wanted me)","Bridge","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"212","You always knew the way to wow me","Bridge","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"213","Fuck around, get tongue-tied, and","Bridge","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"214","I turn it on, I make it rowdy","Bridge","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"215","Then carry on, but I'm not hidin'","Bridge","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"216","You grabbin' me hard 'cause you know what you found","Bridge","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"217","It's biscuits, it's gravy, babe","Bridge","Steve Lacy","Bad Habit","Steve Lacy","8145689"
"218","You can't surprise a Gemini","Outro","Steve Lacy, Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"219","But you know it's biscuits, it's gravy, babe","Outro","Steve Lacy, Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"220","I knew you'd come back around","Outro","Steve Lacy, Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"221","'Cause you know it's biscuits, it's gravy, babe","Outro","Steve Lacy, Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"222","Let's fuck in the back of the mall, lose control","Outro","Steve Lacy, Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"223","Go stupid, go crazy, babe","Outro","Steve Lacy, Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"224","I know I'll be in your heart 'til the end","Outro","Steve Lacy, Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"225","You'll miss me, don't beg me, babe","Outro","Steve Lacy, Steve Lacy & Fousheé","Bad Habit","Steve Lacy","8145689"
"226","Come on, Harry, we wanna say goodnight to you","Intro","Harry Styles","As It Was","Harry Styles","7844309"
"227","Holdin' me back","Verse 1","Harry Styles","As It Was","Harry Styles","7844309"
"228","Gravity's holdin' me back","Verse 1","Harry Styles","As It Was","Harry Styles","7844309"
"229","I want you to hold out the palm of your hand","Verse 1","Harry Styles","As It Was","Harry Styles","7844309"
"230","Why don't we leave it at that?","Verse 1","Harry Styles","As It Was","Harry Styles","7844309"
"231","Nothin' to say","Verse 1","Harry Styles","As It Was","Harry Styles","7844309"
"232","When everything gets in the way","Verse 1","Harry Styles","As It Was","Harry Styles","7844309"
"233","Seems you cannot be replaced","Verse 1","Harry Styles","As It Was","Harry Styles","7844309"
"234","And I'm the one who will stay, oh-oh-oh","Verse 1","Harry Styles","As It Was","Harry Styles","7844309"
"235","In this world, it's just us","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"236","You know it's not the same as it was","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"237","In this world, it's just us","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"238","You know it's not the same as it was","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"239","As it was, as it was","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"240","You know it's not the same","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"241","Answer the phone","Verse 2","Harry Styles","As It Was","Harry Styles","7844309"
"242","""Harry, you're no good alone","Verse 2","Harry Styles","As It Was","Harry Styles","7844309"
"243","Why are you sitting at home on the floor?","Verse 2","Harry Styles","As It Was","Harry Styles","7844309"
"244","What kind of pills are you on?""","Verse 2","Harry Styles","As It Was","Harry Styles","7844309"
"245","Ringin' the bell","Verse 2","Harry Styles","As It Was","Harry Styles","7844309"
"246","And nobody's coming to help","Verse 2","Harry Styles","As It Was","Harry Styles","7844309"
"247","Your daddy lives by himself","Verse 2","Harry Styles","As It Was","Harry Styles","7844309"
"248","He just wants to know that you're well, oh-oh-oh","Verse 2","Harry Styles","As It Was","Harry Styles","7844309"
"249","In this world, it's just us","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"250","You know it's not the same as it was","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"251","In this world, it's just us","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"252","You know it's not the same as it was","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"253","As it was, as it was","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
"254","You know it's not the same","Chorus","Harry Styles","As It Was","Harry Styles","7844309"
